unit_number,failure_cycle,first_crossing_detected,first_crossing_cycle,first_warning_lead_time,persistent_detected,persistent_warning_cycle,persistent_warning_lead_time
1,192,True,100,92.0,True,104,88.0
2,287,True,207,80.0,True,214,73.0
3,179,True,94,85.0,True,131,48.0
4,189,True,65,124.0,True,136,53.0
5,269,True,79,190.0,True,137,132.0
6,188,True,89,99.0,True,102,86.0
7,259,True,111,148.0,True,121,138.0
8,150,True,30,120.0,True,129,21.0
9,201,True,113,88.0,True,120,81.0
10,222,True,157,65.0,True,161,61.0
11,240,True,35,205.0,True,140,100.0
12,170,True,125,45.0,True,129,41.0
13,163,True,92,71.0,True,126,37.0
14,180,True,125,55.0,True,146,34.0
15,207,True,138,69.0,True,179,28.0
16,209,True,86,123.0,True,126,83.0
17,276,True,141,135.0,True,183,93.0
18,195,True,110,85.0,True,118,77.0
19,158,True,81,77.0,True,85,73.0
20,234,True,169,65.0,True,175,59.0
21,195,True,61,134.0,True,111,84.0
22,202,True,75,127.0,True,138,64.0
23,168,True,40,128.0,True,150,18.0
24,147,True,99,48.0,True,121,26.0
25,230,True,40,190.0,True,180,50.0
26,199,True,56,143.0,True,63,136.0
27,156,True,90,66.0,True,96,60.0
28,165,True,47,118.0,True,142,23.0
29,163,True,117,46.0,True,130,33.0
30,194,True,147,47.0,True,163,31.0
31,234,True,136,98.0,True,140,94.0
32,191,True,159,32.0,True,163,28.0
33,200,True,93,107.0,True,108,92.0
34,195,True,30,165.0,True,34,161.0
35,181,True,60,121.0,True,64,117.0
36,158,True,78,80.0,True,87,71.0
37,170,True,110,60.0,True,128,42.0
38,194,True,118,76.0,True,131,63.0
39,128,True,74,54.0,True,114,14.0
40,188,True,122,66.0,True,136,52.0
41,216,True,84,132.0,True,88,128.0
42,196,True,74,122.0,True,164,32.0
43,207,True,63,144.0,True,67,140.0
44,192,True,101,91.0,True,126,66.0
45,158,True,53,105.0,True,101,57.0
46,256,True,214,42.0,True,218,38.0
47,214,True,80,134.0,True,84,130.0
48,231,True,142,89.0,True,146,85.0
49,215,True,151,64.0,True,165,50.0
50,198,True,66,132.0,True,143,55.0
51,213,True,80,133.0,True,86,127.0
52,213,True,98,115.0,True,164,49.0
53,195,True,144,51.0,True,148,47.0
54,257,True,88,169.0,True,178,79.0
55,193,True,91,102.0,True,141,52.0
56,275,True,125,150.0,True,139,136.0
57,137,True,58,79.0,True,80,57.0
58,147,True,45,102.0,True,49,98.0
59,231,True,172,59.0,True,176,55.0
60,172,True,130,42.0,True,136,36.0
61,185,True,56,129.0,True,62,123.0
62,180,True,111,69.0,True,138,42.0
63,174,True,59,115.0,True,116,58.0
64,283,True,209,74.0,True,215,68.0
65,153,True,109,44.0,True,113,40.0
66,202,True,116,86.0,True,120,82.0
67,313,True,163,150.0,True,194,119.0
68,199,True,129,70.0,True,141,58.0
69,362,True,274,88.0,True,278,84.0
70,137,True,100,37.0,True,104,33.0
71,208,True,34,174.0,True,138,70.0
72,213,True,98,115.0,True,177,36.0
73,213,True,145,68.0,True,173,40.0
74,166,True,82,84.0,True,101,65.0
75,229,True,115,114.0,True,175,54.0
76,210,True,66,144.0,True,70,140.0
77,154,True,61,93.0,True,78,76.0
78,231,True,58,173.0,True,184,47.0
79,199,True,91,108.0,True,97,102.0
80,185,True,30,155.0,True,132,53.0
81,240,True,104,136.0,True,108,132.0
82,214,True,136,78.0,True,140,74.0
83,293,True,189,104.0,True,203,90.0
84,267,True,128,139.0,True,247,20.0
85,188,True,161,27.0,True,167,21.0
86,278,True,173,105.0,True,199,79.0
87,178,True,112,66.0,True,116,62.0
88,213,True,117,96.0,True,130,83.0
89,217,True,125,92.0,True,201,16.0
90,154,True,52,102.0,True,56,98.0
91,135,True,30,105.0,True,34,101.0
92,341,True,133,208.0,True,204,137.0
93,155,True,52,103.0,True,56,99.0
94,258,True,144,114.0,True,148,110.0
95,283,True,161,122.0,True,171,112.0
96,336,True,120,216.0,True,290,46.0
97,202,True,143,59.0,True,147,55.0
98,156,True,97,59.0,True,101,55.0
99,185,True,114,71.0,True,165,20.0
100,200,True,86,114.0,True,160,40.0
